ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
TG6-129;3580;Smallmolecule;None;-33;5;Human;20;Functional;1;5.4;5.4;5.4;pKB;GuidetoPharmacology;491;7;3;7;3.6;CCc1nnc(s1)NS(=O)(=O)c1ccc(cc1)NC(=S)NC(=O)/C=C/c1ccc(cc1)F
treprostinil;3633;Smallmolecule;None;-8;2;Human;0;Functional;3;6.7;6.7;6.7;pEC50;GuidetoPharmacology;390;10;3;4;3.6;CCCCC[C@@H](CC[C@H]1[C@H](O)C[C@H]2[C@@H]1Cc1cccc(c1C2)OCC(=O)O)O
treprostinil;3633;Smallmolecule;None;-8;2;Human;0;Functional;3;8.2;8.2;8.2;pEC50;DrugCentral;390;10;3;4;3.6;CCCCC[C@@H](CC[C@H]1[C@H](O)C[C@H]2[C@@H]1Cc1cccc(c1C2)OCC(=O)O)O
CHEMBL222715;84073;Smallmolecule;None;6;4;Human;0;Functional;4;8.0;9.3;10.7;EC50;ChEMBL;359;10;2;3;3.4;CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1
CHEMBL1644016;56403;Smallmolecule;None;-;1;Human;0;Functional;4;8.6;8.6;8.6;IC50;ChEMBL;500;8;1;4;5.8;COc1ccccc1CC(=O)NCCc1ccc(-c2c(C(=O)N(C)C)sc3c(C)cc(C)cc23)cc1
CHEMBL3751951;136486;Smallmolecule;None;-186;3;Human;0;Functional;2;6.5;6.5;6.5;EC50;ChEMBL;458;12;2;7;4.0;O=C(O)c1csc(SCCN2C(=O)OC[C@@H]2/C=C/[C@@H](O)C2(CCCCF)CCC2)n1
CHEMBL3686863;130573;Smallmolecule;None;-2;2;Human;1;Functional;4;8.3;8.2;8.3;IC50;ChEMBL;383;4;3;5;2.9;Cc1ccc(N2CCC(O)CC2)nc1C(=O)Nc1c(C)cc(C(=O)O)cc1C
CHEMBL417171;161956;Smallmolecule;None;-;1;Human;0;Functional;2;6.3;6.3;6.3;EC50;ChEMBL;413;10;2;3;4.3;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)c1cccc(C(F)(F)F)c1
CHEMBL42027;162719;Smallmolecule;None;4;2;Human;0;Functional;7;7.3;8.4;10.2;EC50;ChEMBL;339;13;2;3;3.5;CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCCCCCC(=O)O
CHEMBL440474;168347;Smallmolecule;None;-;1;Human;0;Functional;1;7.8;7.8;7.8;EC50;ChEMBL;427;11;2;3;4.2;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)Cc1cccc(C(F)(F)F)c1
CHEMBL444574;169425;Smallmolecule;None;-;1;Human;0;Functional;2;7.9;7.9;7.9;EC50;ChEMBL;451;11;3;4;5.0;Cc1cc(O)ccc1-c1cccc(C(O)/C=C/[C@H]2CCC(=O)N2CCCCCCC(=O)O)c1
CHEMBL47018;178084;Smallmolecule;None;-;1;Human;0;Functional;2;6.4;6.4;6.4;EC50;ChEMBL;421;11;2;3;5.0;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)c1cccc(-c2ccccc2)c1
CHEMBL14359;34856;Smallmolecule;None;-;1;Human;0;Functional;3;6.9;6.8;6.9;EC50;ChEMBL;359;11;2;3;3.2;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)Cc1ccccc1
CHEMBL280223;98361;Smallmolecule;None;-;1;Human;0;Functional;3;6.8;6.8;6.8;EC50;ChEMBL;385;11;2;3;3.7;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)C1(c2ccccc2)CC1
CHEMBL288978;99600;Smallmolecule;None;-;1;Human;0;Functional;2;7.1;7.1;7.1;EC50;ChEMBL;437;12;2;4;5.1;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)c1cccc(Oc2ccccc2)c1
CHEMBL291182;99839;Smallmolecule;None;-;1;Human;0;Functional;2;6.9;6.9;6.9;EC50;ChEMBL;415;11;2;3;4.5;O=C(O)CCCCCCN1C(=O)CC[C@@H]1CC[C@@H](O)c1cccc(C(F)(F)F)c1
CHEMBL296715;100647;Smallmolecule;None;-;1;Human;0;Functional;2;7.8;7.8;7.8;EC50;ChEMBL;453;12;3;4;5.2;Cc1cc(O)ccc1-c1cccc([C@H](O)CC[C@H]2CCC(=O)N2CCCCCCC(=O)O)c1
CHEMBL413509;160904;Smallmolecule;None;-;1;Human;0;Functional;2;8.2;8.2;8.2;EC50;ChEMBL;353;12;3;4;2.3;CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)N1C/C=C/CCCC(=O)O
CHEMBL416254;161380;Smallmolecule;None;-;1;Human;0;Functional;1;4.4;4.4;4.4;EC50;ChEMBL;421;11;2;3;5.0;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)c1ccccc1-c1ccccc1
CHEMBL416262;161393;Smallmolecule;None;-;1;Human;0;Functional;2;6.7;6.7;6.7;EC50;ChEMBL;337;11;2;3;3.1;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/[C@@H](O)CC1CCC1
CHEMBL42129;163568;Smallmolecule;None;-;1;Human;0;Functional;2;6.9;6.9;6.9;EC50;ChEMBL;365;11;2;3;3.9;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/[C@@H](O)CC1CCCCC1
CHEMBL43766;167993;Smallmolecule;None;-;1;Human;0;Functional;1;5.2;5.2;5.2;EC50;ChEMBL;339;13;2;3;3.5;CCCCC[C@@H](O)/C=C/[C@H]1CCC(=O)N1CCCCCCC(=O)O
CHEMBL45008;171868;Smallmolecule;None;-;1;Human;0;Functional;2;7.9;7.9;7.9;EC50;ChEMBL;427;11;2;3;4.2;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/[C@@H](O)Cc1cccc(C(F)(F)F)c1
CHEMBL45418;173154;Smallmolecule;None;-;1;Human;0;Functional;2;7.4;7.4;7.4;EC50;ChEMBL;403;10;2;4;3.9;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)c1ccc(C(F)(F)F)o1
CHEMBL46395;176677;Smallmolecule;None;-28;2;Human;0;Functional;2;6.3;6.3;6.3;EC50;ChEMBL;429;12;2;3;4.4;O=C(O)CCCCCCN1C(=O)CC[C@@H]1CC[C@@H](O)Cc1cccc(C(F)(F)F)c1
CHEMBL46671;177692;Smallmolecule;None;-;1;Human;0;Functional;2;7.3;7.3;7.3;EC50;ChEMBL;455;11;2;3;5.6;O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)c1cccc(-c2ccc(Cl)cc2)c1
